id,标题,作者,来源,时间,邮箱
643,OR107 - CLINICAL APPLICATION OF FOUR-DIMENSIONAL COMPUTED TOMOGRAPHY FOR THE PREOPERATIVE EVALUATION OF VELOPHARYNGEAL CLOSURE FUNCTION,Kobayashi Y.;Nakajima Y.;Aizawa T.;Sato K.,International Journal of Oral & Maxillofacial Surgery,2024-01-01,
644,Computer-aided ligand screening to develop polymer-free catalyst in Cr-catalyzed ethylene oligomerization,Peng Jiale;Mei Yu;Chen Long;Zhu Mengyu;Liu Zhen,Journal of Catalysis,2024-01-01,
645,“中国操作系统的根立住了”,秦枭,中国经营报,2024-01-01,
646,苏州相城区：让更多科研成果从实验室走向生产线,张晔,科技日报,2024-01-01,
647,互联网时代下慈善创新与监管探讨,孙晓彤,廊坊师范学院学报(自然科学版),2023-12-31,
648,燃料辐照配套热室共用通风系统技术研究,徐娜;罗伟涛;丁璐;薛宇,暖通空调,2023-12-31,
649,Unveiling facial kinship: The BioKinVis dataset for facial kinship verification and genetic association studies.,Yu Jian;Jin Xiaozhe;Du Weijie;Bai Yantong;Zhou Xin,Electrophoresis,2023-12-31,
650,Application of optimized CNN algorithm in landslide boundary detection,Qiao Yun,Journal of Measurements in Engineering,2023-12-31,
651,虚拟现实技术在中职英语教学中的应用,胡刚,知识窗(教师版),2023-12-31,
652,虚拟现实技术融入高职院校药学专业课程的实践效果研究,王健;薛菲;郭凯蕾,黑龙江科学,2023-12-30,
653,基于正交试验的透平叶片气膜冷却仿真与预测,王正杰;何洪斌;张席;陈洁怡,能源与环境,2023-12-30,
654,高寒高海拔地区碾压混凝土坝VC值动态控制,郑宏杰;贾超;高飞,人民黄河,2023-12-30,
655,智慧水利水土保持分系统构建及应用,张红丽;林丽萍;赵永军;罗志东,人民黄河,2023-12-30,
656,辽宁省旅游产业开发对虚拟现实技术的应用研究,张红;肖悦,对外经贸,2023-12-30,
657,成都职业技术学校,,教育科学论坛,2023-12-30,
658,低剂量头颈CTA及全脑CTP技术在颈动脉源性脑灌注异常评估中的应用,蔡培坤;陈杰彬;蔡勇;梁焕;梁晖辉;,广东医科大学学报,2023-12-30,
659,中国式科技原创的基本路径——科技文化视野下的中国原创之路,朱亚宗,高等教育研究学报,2023-12-30,
660,智能化背景下汽车区间测速教学仿真实验的开发与实践,郭展宏;王红飙;范修文,汽车实用技术,2023-12-30,
661,基于模板匹配的汽车堵件漏装检测系统设计与应用,陈涛;肖方挺;吴梓华,汽车实用技术,2023-12-30,
662,“嵌入式系统”实验教学的改革与探索,王梦觉;梁丽丽,科技风,2023-12-30,
663,计算机专业新生开设“计算机专业英语”课程的教学探讨,杨建强;杭波;王敏;黄小童;郑毅,科技风,2023-12-30,
664,技工学校“计算机基础与应用”课程一体化教学实践与探索,丁娜娜,科技风,2023-12-30,
665,新发展阶段河北省制造业高质量发展着力点探析,尹彦罡;魏芳;高艳,河北经贸大学学报(综合版),2023-12-30,
666,Use of Computed Tomography-Based Texture Analysis to Differentiate Benign From Malignant Salivary Gland Lesions.,Shuqi Jiang;Su Yangfan;Liu Yanwen;Zhou Zewang;Li Maotong,Journal of computer assisted tomography,2023-12-30,
667,Synergy of polymyxin B and minocycline against KPC-3- and OXA-48-producing Klebsiella pneumoniae in dynamic time-kill experiments: agreement with in silico predictions.,Olsson Anna;Malmberg Christer;Zhao Chenyan;Friberg Lena E;Nielsen Elisabet I,The Journal of antimicrobial chemotherapy,2023-12-30,
668,Automation of Functional Mobility Assessments at Home Using a Multimodal Sensor System Integrating Inertial Measurement Units and Computer Vision (IMU-Vision).,Spangler Johanna;Mitjans Marc;Collimore Ashley;GomesPires Aysha;Levine David M,Physical therapy,2023-12-30,
669,Quarter Century PET/Computed Tomography Transformation of Oncology: Neuroendocrine Tumors.,Marcus Charles;Muzahir Saima;Subramaniam Rathan M,PET clinics,2023-12-30,
670,Preoperative CT-imaging with patient-specific computer simulation in transcatheter aortic valve implantation: Design and rationale of the GUIDE-TAVI trial.,Hegeman Romy R M J J;van Ginkel DirkJan;Längle Severin;Timmers Leo;Rensing Benno J W M,American heart journal,2023-12-30,
671,"Tooth morphology, internal fit, occlusion, and proximal contacts of dental crowns designed by deep learning-based dental software: A comparative study.",Cho JunHo;Çakmak Gülce;Yi Yuseung;Yoon HyungIn;Yilmaz Burak,Journal of dentistry,2023-12-30,
672,科学家开发出自组装发光治疗蛋白,张佳欣,科技日报,2023-12-30,
673,机构调研热情不减 覆盖度再提升,李曼宁,证券时报,2023-12-30,
674,医学影像学技术用于乳腺肿瘤诊断价值研究进展,唐睿,中国辐射卫生,2023-12-29 18:27,
675,基于样本扩充网络的水声目标分类模型优化算法,张博轩;赵天白;常振兴;蒋翔宇;王少博,计算机测量与控制,2023-12-29 16:37,
676,数字法学形构的法哲学进路,江河,政法论坛,2023-12-29 16:26,
677,基于深度学习的竞技体育运动表现视频分析研究进展,职国宇;李瑞杰;宋业猛;冯加付,西安体育学院学报,2023-12-29 15:29,
678,基于机器视觉转子冲片亚像素精度尺寸测量研究,顾良玉;吴继薇,计算机测量与控制,2023-12-29 15:08,
679,耦合风速测量的风力机时空尾流重构,王龙滟;陈梦;袁建平,排灌机械工程学报,2023-12-29 14:51,
680,基于神经网络的工业机器人视觉抓取系统设计,燕硕;李建松,计算机测量与控制,2023-12-29 14:18,
681,基于浮选泡沫图像预测精矿品位的研究进展,卜显忠;杨怡琳;宛鹤,金属矿山,2023-12-29 14:02,
682,神经辐射场加速算法综述,王稚儒;常远;鲁鹏;潘成伟,图学学报,2023-12-29 13:04,
683,基于RBF神经网络的BDS接收机作战效能评估,李奎;张侹;王华;廖斌;吴娟,导航定位学报,2023-12-29 09:35,
684,基于BP神经网络的上海生鲜农产品物流需求预测,郝杨杨;邹宇,上海海事大学学报,2023-12-29 09:08,
685,基于多线程加速的STEP标准并行解析算法,毕玉莉;刘嘉政;杨义军;曾薇;雍俊海,计算机辅助设计与图形学学报,2023-12-29 08:56,
686,虚拟现实技术在高校教育教学中的应用策略研究,周硕,陕西教育(高教),2023-12-29,
687,事业单位会计信息化建设初探,魏彤彤;国甜甜;韩璐,中国农业会计,2023-12-29,
688,腓骨远端CT值在评价老年人踝关节骨折骨密度中的应用,张泽锋;由晓萱;林树峰;颜逸鹏;郭辉洋;,生物医学转化,2023-12-29,
689,Barriers and facilitators to adoption of e-learning in higher education institutions of Pakistan during COVID-19: perspectives from an emerging economy,Qazi Muhammad Arsam;Sharif Muhammad Aiyaz;Akhlaq Ather,Journal of Science and Technology Policy Management,2023-12-29,
690,Using Artificial Intelligence as a Melanoma Screening Tool in Self-Referred Patients.,Crawford Madeleine E;Kamali Kiyana;Dorey Rachel A;MacIntyre Olivia C;Cleminson Kristyna,Journal of cutaneous medicine and surgery,2023-12-29,
691,Voxel-based dysconnectomic brain morphometry with computed tomography in Down syndrome.,SánchezMoreno Beatriz;Zhang Linda;Mateo Gloria;Moldenhauer Fernando;Brudfors Mikael,Annals of clinical and translational neurology,2023-12-29,
692,Effect of Feedback Modality on Simulated Surgical Skills Learning Using Automated Educational Systems- A Four-Arm Randomized Control Trial.,Yilmaz Recai;Fazlollahi Ali M;WinklerSchwartz Alexander;Wang Anna;Makhani Hafila Hassan,Journal of surgical education,2023-12-29,
693,Anomalous origin of the right coronary artery originating from the pulmonary trunk: pre- and postoperative computed tomography images and virtual reality reconstructions.,Suchodolski Alexander;Gałeczka Michał;Szulik Mariola;Fiszer Roland;Głowacki Jan,Coronary artery disease,2023-12-29,
694,Association between bone mineral density and coronary plaque burden in patients with coronary artery disease: a cross-sectional study using quantitative computed tomography.,Geng Guang;Li Zhen;Wang Shuai;Yuan Tao;Quan Guanmin,Coronary artery disease,2023-12-29,
695,A Navigation Algorithm to Enable Sustainable Control of Insect-Computer Hybrid Robot with Stimulus Signal Regulator and Habituation-Breaking Function.,Li Rui;Lin Qifeng;Kai Kazuki;Nguyen Huu Duoc;Sato Hirotaka,Soft robotics,2023-12-29,
696,In silico prediction and in vitro assessment of novel heterocyclics with antimalarial activity.,Orozco Martha Ilce;Moreno Pedro;Guevara Miguel;Abonia Rodrigo;Quiroga Jairo,Parasitology research,2023-12-29,
697,解码量子信息如何形成新质生产力,张赛男,21世纪经济报道,2023-12-29,
698,区域划分在自相交多边形分解算法中的应用,赵启;曾薇;杨义军,计算机辅助设计与图形学学报,2023-12-28 18:43,
699,融合多头自注意力的AeroMACS自适应调制编码算法,程龙;孟繁栋;毛建华;袁树德;姜博文,电光与控制,2023-12-28 16:39,
700,适用于不同款式的无监督服装动画预测,石敏;禚心如;孙碧莲;韩国庆;朱登明,图学学报,2023-12-28 16:38,
701,电池储能系统绝缘电阻检测方法误差分析,张杰;吴成辉;潘明俊;赵天恩,储能科学与技术,2023-12-28 15:54,
702,基于计算机视觉的黄颡鱼表型特征测量和体重预测模型研究,何志鹏;巩高瑞;熊阳;蒋有渤;胡景琦;,水生生物学报,2023-12-28 14:53,
703,基于超网络理论的高铁快运枢纽节点选址与分级研究,王玥;朱晓宁;刘韵光,铁道运输与经济,2023-12-28 14:34,
704,云计算环境下基于全同态加密的神经网络分类预测研究,杨雄;徐慧华,贵州大学学报(自然科学版),2023-12-28 12:03,
705,基于传统方法与深度学习方法的图片相似度算法比较,王华溢;黄要诚;蔡波,计算机系统应用,2023-12-28 10:57,
706,基于多尺度特征深度神经网络的不同产地山楂细粒度图像识别,谭超群;秦中翰;黄欣然;陈虎;黄永亮;,四川大学学报(自然科学版),2023-12-28 10:09,
707,拦截弹复合控制半实物仿真系统设计与实现,邓晨;陈功;敖厚军;任斯远;杜文涛,北京航空航天大学学报,2023-12-28 08:51,
708,离散粒子群算法求解带役龄维护的不相关并行机调度问题,高佳;谭园园;李冬;张俊;王艳红,计算机集成制造系统,2023-12-28 08:19,
709,计算机图形图像处理软件在平面广告设计中的应用,郝燕,品牌与标准化,2023-12-28,
710,探析计算机网络技术在电子信息工程中的应用研究,郝江,品牌与标准化,2023-12-28,
711,基于单片机的智能化磁罗经自差自测自校系统设计,季禹;季本山;方泉根,上海海事大学学报,2023-12-28,
712,高速铁路联调联试车务系统前期介入及行车安全关键研究,杨新春,铁路技术创新,2023-12-28,
713,使用互联网有助于提高农村老人幸福感吗？——基于CFPS追踪调查数据的分析,李静;郭烨凌,南京医科大学学报(社会科学版),2023-12-28,
714,分数阶计算机病毒模型的稳定性与分岔分析,鞠雅雯;肖敏;丁洁;杨鑫松,计算技术与自动化,2023-12-28,
715,基于城市水环境治理下的建设项目管理数字化系统的构建,秦梅,水电站设计,2023-12-28,
716,基于机器视觉的多巷道自动化立体仓库货位透明化分配方法,东纯海,计算技术与自动化,2023-12-28,
717,基于乡村振兴的高职虚拟现实技术人才培养实践研究,莫文水,湖北开放职业学院学报,2023-12-28,
718,基于机器视觉的物料自动分拣实验平台设计,盖文东;刘雅琨;荆刚;张婧;卢晓,实验室科学,2023-12-28,
719,基于样本间潜在关系的多变量时间序列分类,唐胜唐;吴共庆;台昌杨;杨泽;张赞,合肥工业大学学报(自然科学版),2023-12-28,
720,“多测合一”信息管理系统设计与实践——以鄂州为例,蔡为;王均浩;孟晓赟;郭明强,地理空间信息,2023-12-28,
721,基于卷积神经网络的压裂停泵数据滤波方法,徐靓;李道伦;查文舒,合肥工业大学学报(自然科学版),2023-12-28,
722,鱼虾分级技术装备研究现状及展望,熊师;柴长虹;冯云云;卫强;潘明钊;,现代农业装备,2023-12-28,
723,Flexural strength of a polymethylmethacrylate resin produced by computer‐aided design and computer‐aided manufacturing system after repeated usage of tungsten carbide burs and thermocycling,P. Oyar;M. Ulusoy;R. Durkan;N. Ulusoy,Materialwissenschaft und Werkstofftechnik,2023-12-28,
724,Anomalous segmental dynamics of supercooled polyrotaxane melts: A computer simulation study.,Jia XiangMeng;Zhou Jiajia,The Journal of chemical physics,2023-12-28,
726,Javascript tutorial,ABCDE,XYZWU,2028,no@thankyu.org
727,改进蚁群算法的火灾环境疏散路径规划研究,杜云,刘小雨,贾科进,
728,一种基于双重语义协作网络的图像描述方法,江泽涛,朱文才,金鑫,
729,基于增强嵌入特征超图学习的恶意域名检测方法,魏金侠,龙春,付豪,
730,知识图谱补全方法研究综述,张文豪,徐贞顺,刘纳,
731,微反应器内阳离子聚合研究进展,何宇航,谢丹,吕阳成,
732,考虑转移时间的多目标双资源柔性作业车间节能调度,魏光艳,叶春明,计算机集成制造系统,2024-01-05 19:09
733,面向非平行语料的语音转换技术综述,李鹏程,张旭龙,王健宗,
734,沙尘图像视觉增强技术综述,司亚中,张旭龙,杨帆,
735,内蒙古光伏开发空间适宜性及减排效益研究,徐伟,刘振领,干旱区地理,2024-01-05 17:33
736,InternDiffuseDet:结合可变形卷积和扩散模型的目标检测方法,袁志祥,高永奇,计算机工程与应用,2024-01-05 17:29
737,鱼虾分级技术装备研究现状及展望,熊师,柴长虹,冯云云,
738,Flexural strength of a polymethylmethacrylate resin produced by computer‐aided design and computer‐aided manufacturing system after repeated usage of tungsten carbide burs and thermocycling,P. Oyar,M. Ulusoy,R. Durkan,
739,Anomalous segmental dynamics of supercooled polyrotaxane melts: A computer simulation study.,Jia XiangMeng,Zhou Jiajia,The Journal of chemical physics,2023-12-28
740,Javascript tutorial,ABCDE,XYZWU,2028,no@thankyu.org
